137004086	lakoissa	lakko|lakka	lakka	Liuottimien ja vaarallisten aineiden määrää maaleissa ja	lakoissa	on vähennettävä , mutta siihen tarvitaan suunnitelmaa , joka on mahdollista toteuttaa myös käytännössä .
218012517	lakoilla	lakko|lakka	lakko	Puolassa tapahtumat , jotka olivat alkanet Gdánskin	lakoilla	kesällä 1980 , johtivat Belvederen sopimukseen vuoden 1989 helmi- ja huhtikuun välisenä aikana , ja sitä seurasivat ensimmäiset vapaat vaalit 4 .
161883437	lakkoihin	lakko|lakka	lakko	Presidentti Contén ainoa reaktio tammikuun	lakkoihin	oli tulittaa väkijoukkoa , vangita ammattiliittojen edustajat , ja sitten teeskenneltyään käyneensä 27 .
63624564	lakkoihin	lakko|lakka	lakko	Se johti itsepintaisten ammattiyhdistysten johtamiin	lakkoihin	ja haukkumiskampanjoihin , minkä seurauksena ehdotukset hylättiin ja korvattiin ponnettomalla kompromissilla .
110194080	Lakoille	lakko|lakka	lakko		Lakoille	ja mielenosoituksille ei jää tilaa , ei myöskään yhdistymisvapaudelle , uskonnonvapaudelle tai vapaille vaaleille .
112243067	internetissäkin	internetti|internet	internet	Kovinkaan kauan aikaa ei ole ymmärretty sitä , että rikos on rikos	internetissäkin	eikä se , että voi salata henkilöllisyytensä , voi vapauttaa ketään vastuusta myöskään sähköisellä puolella .
195975921	internetissäkin	internetti|internet	internet	Rikos on rikos	internetissäkin	, samoin roska on roskaa internetissäkin .
195975927	internetissäkin	internetti|internet	internet	Rikos on rikos internetissäkin , samoin roska on roskaa	internetissäkin	.
45238051	internetissäkin	internetti|internet	internet	Rikos on rikos	internetissäkin	ja sehän meidän täytyy tietää .
3806325	juovan	juova|juopa	juova	Ensiksi , oletteko ottaneet huomioon sen syvän	juovan	, joka Albaniassa tällä hetkellä vallitsee poliittisen näyttämön juonitteluiden sekä aseistettujen ja ilman johtoa olevien kapinoitsijoiden välillä ?
91193789	juovat	juova|juopa	juoda	Tämä on meidän vaatimuksemme , sillä nämä ihmiset vaarantavat oman henkensä eivätkä Brysselissä olevia johtajia , jotka syövät ja	juovat	niin kuin ennenkin .
153336683	juovan	juova|juopa	juopa	Ajatus siitä , että Yhdysvallat aiheutti sisäisen	juovan	Eurooppaan , on virheellinen .
74704719	juovat	juova|juopa	juoda	lapset syövät ja	juovat	monenlaisia asioita , joihin liittyy tietty terveysriski .
190874812	juovan	juova|juopa	juopa	Se olisi myös todella poistanut surullisen kuuluisan	juovan	EU:n toimielinten ja kansalaisten väliltä .
65682432	häpäisevät	häpäistä|häväistä	häväistä	Meidän on oltava monilukuisina Euroopan kaduilla vastustamassa näitä ääriliikkeiden kanssa tehtyjä liittoja , jotka	häpäisevät	Euroopan ja harhauttavat nuorisoamme .
84261108	häpäisemisestä	häpäistä|häväistä	häväistä	Tuen voimakkaasti ajatusta komission jäsenen mainitsemasta tulostaulusta ja niiden jäsenvaltioiden nimeämisestä ja	häpäisemisestä	, jotka eivät onnistu vastaamaan parlamentin jäsenten , komission ja väestön odotuksiin .
108505935	häpäisevät	häpäistä|häväistä	häpäistä	Paljon kertoo jo se tosiseikka , että joitakin äänestyspaikkoja käytetään öisin kidutuskeskuksina , joissa Mugaben hurjat miliisit piinaavat ja	häpäisevät	poliittisia vastustajia .
226604070	häpäisemisestä	häpäistä|häväistä	häväistä	Erityisesti hän puolusti kristittyä naista , joka odottaa parhaillaan teloitusta - voitteko uskoa - tuomittuna islamin	häpäisemisestä	.
38036382	häpäisee	häpäistä|häväistä	häväistä	Eurooppa	häpäisee	itsensä sallimalla siviilien joukkoteurastusten jatkumisen ja palvelemalla tyranneja .
189246286	paikallisvaaleihin	paikallis#vaali|paikallis#vaalea	paikallis#vaali	Tästä syystä komissio ei voi keskustella Latvian kanssa näiden ihmisten osallistumisesta	paikallisvaaleihin	.
189264454	paikallisvaaleihin	paikallis#vaali|paikallis#vaalea	paikallis#vaali	Normaaleissa olosuhteissa olisi mahdollista ehdottaa , että maassa pysyvästi oleskelevat voisivat osallistua	paikallisvaaleihin	, mutta me kaikki tiedämme liiankin hyvin , että Latvian kansalaisuutta vailla olevien voidaan tuskin väittää tulleen maahan normaaleissa olosuhteissa .
106265884	paikallisvaaleihin	paikallis#vaali|paikallis#vaalea	paikallis#vaali	Tämä on ensimmäinen kerta , kun tarkkailijoita lähetetään puhtaasti	paikallisvaaleihin	.
73423311	paikallisvaaleihin	paikallis#vaali|paikallis#vaalea	paikallis#vaali	Arvoisa puhemies , pystymmekö me Euroopan parlamentissa koskaan kantamaan vastuutamme , ymmärtämään , että emme ole uskottavia puhuessamme oikeuksista ja demokratiasta näillä alueilla , kun annamme määrärahoja puuttuaksemme Montenegron	paikallisvaaleihin	, kun olemme jo vuosia tukeneet Irakin kauppasaartoa ja näin tuominneet satoja tuhansia lapsia kuolemaan ?
125749038	paikallisvaaleihin	paikallis#vaali|paikallis#vaalea	paikallis#vaali	Voimme keskittyä muun muassa tuleviin	paikallisvaaleihin	.
53548004	mantereellemme	mantere|manner	manner	Mikään tarkoitus ei pyhitä tällaisia keinoja , sillä niiden seurauksia	mantereellemme	ei voida vielä nähdä .
175922058	mantereen	mantere|manner	manner	Meidän Euroopan parlamentissa on kuitenkin keskityttävä kaikkein ensimmäiseksi Euroopan	mantereen	turvallisuuteen liittyviin seuraamuksiin .
17290479	mantereelle	mantere|manner	manner	Kun otetaan huomioon , että tonneittain saastunutta lihaa vietiin Yhdistyneestä kuningaskunnasta Euroopan	mantereelle	, on selvää , että muutama tapaus tulisi ilmi .
29393379	mantereen	mantere|manner	manner	Tässä lausekkeessa allekirjoittajat sitoutuvat täyttämään velvoitteet ihmisoikeuksien kunnioittamisen osalta samoin kuin yhteiskunnallisissa ja ympäristöasioissa - nämä asiat ovat erittäin tärkeitä näissä Amerikan	mantereen	maissa .
31329843	mantereen	mantere|manner	manner	Siinä ei sanota mitään siitä , että YMP:n on vastattava taloudellisen ja sosiaalisen koheesion kriteereihin , että meidän on varmistettava tasapaino tuotannonalojen , maanviljelijöiden ja alueiden välillä , ja kielteisenä esimerkkinä voidaan mainita se , että epätasapainoinen talousarvio johtaa erilaiseen suojeluun etelän tuotannonalojen ja	mantereen	tuotannonalojen välillä .
74259882	ainoiksi	aino|ainoa	ainoa	Kysyn neuvostolta , onko se tutkinut mahdollisuutta poistaa kauppasaarto , jonka	ainoiksi	uhreiksi joutuvat Irakin asukkaat ja erityisesti pienet lapset ?
58372722	ainoiksi	aino|ainoa	ainoa	Haluaisin nyt käyttää hyväkseni vähäistä puheaikaani kehottamalla teitä ja puheenjohtaja Prodia pohtimaan riskejä , joita joudutaan ottamaan , kun hallitukset halutaan	ainoiksi	keskusteluosapuoliksi , kun ainoastaan ne halutaan saada vakuuttuneiksi , etenkin kaikkein vastaanhangoittelevimmat hallitukset , ja kun halutaan aina saada realismi ja uskottavuus sopimaan yhteen usein epäselvien ja vaatimattomien ehdotusten kanssa .
59639580	ainoille	aino|ainoa	ainoa	Se tarkoittaa kuitenkin ennen kaikkea sitä , ettei unionilla oleville	ainoille	todellisille omille varoille eli perinteisille omille varoillemme saa aiheuttaa vahinkoa .
19703159	ainoiksi	aino|ainoa	ainoa	Mietinnön hyvistä osista huolimatta jäävät Anderssonin mietinnön	ainoiksi	menestyksen arvioimistekijöiksi määrällinen kasvu ja lisääntynyt taloudellinen voitto .
150616765	ainoiksi	aino|ainoa	ainoa	Meidän on kehotettava muita toimijoita osallistumaan prosessiin , jotta EU:n markkinat eivät jää Euroopan	ainoiksi	.
28084523	nykytilanne	nyky#tilanne|nyky#tila	nyky#tilanne	Euroopan tekstiilialan	nykytilanne	on seurausta muun muassa siitä , että rikotaan kansainvälisiä ja yhteisön markkinasääntöjä , joihin kuuluu ympäristön , sosiaalisen suojelun ja henkisen omaisuuden kunnioittaminen .
65080302	nykytilanne	nyky#tilanne|nyky#tila	nyky#tilanne	Mielestäni voimme neuvoston puheenjohtajan ja komission julkilausumien jälkeen olla kaikki samaa mieltä siitä , että	nykytilanne	on ihmisoikeuksien osalta varsin kaukana siitä , mitä me kaikki tavoittelemme .
239056059	nykytilanne	nyky#tilanne|nyky#tila	nyky#tilanne	Lopuksi , ja haluan sanoa teille kaikille , että vastuun osalta hinta siitä , että tästä asiasta ei saada aikaan sopimusta , on erittäin korkea	nykytilanne	huomioon ottaen .
153366285	nykytilanne	nyky#tilanne|nyky#tila	nyky#tilanne	Esittelijä ottaa myös esille energiamarkkinoiden kestämättömän luonteen ja viimeaikaisen öljynhinnan nousun , joiden takia	nykytilanne	eroaa siitä tilanteesta , jossa komissio laati vihreän kirjansa .
188248579	nykytilanne	nyky#tilanne|nyky#tila	nyky#tilanne	Mikä on ” made in ” -merkintää koskevan asetusehdotuksen	nykytilanne	?
120138338	vuosikin	vuosi|vuo	vuosi	Muistuttaisin siitä , että samantapaisten väärien tuomioiden oikaiseminen kesti 1980-luvulla vuosikausia vastaavien Yhdistyneissä kuningaskunnissa ilmenneiden tapausten yhteydessä , joten olen iloinen siitä , että aikaa ei kulunut enempää , vaikka	vuosikin	on vastaajille kova paikka .
141109474	Villeille	Villi|Ville	Villi		Villeille	tieteellisille käsitteille tai yrityksiin kohdistuvalle lempeydelle ei ole sijaa , kun kyse on satojen ja satojen miljoonien eurooppalaisten kuluttajien elämästä ja terveydestä , eikä etenkään siksi , etteivät kuluttajat ole koskaan halunneet uuden sukupolven elintarvikkeita , joiden vaikutuksia ei tunneta .
30510556	antibioottijäämien	antibiootti#jäämä|antibiootti#jäämi	antibiootti#jäämä	On siis välttämätöntä lisätä myös lihan ja ruhojen	antibioottijäämien	tarkkailua Euroopan unionin sisällä ja yhteisön ulkopuolisten maiden viennissä .
5166375	antibioottijäämien	antibiootti#jäämä|antibiootti#jäämi	antibiootti#jäämä	Komissio aikoo kuitenkin aloittaa tutkimuksia tästä aiheesta ja se on kehottanut myös teollisuutta aloittamaan ohjelman	antibioottijäämien	valvomiseksi eläimissä .
56714279	matoista	mata|matto	matto	Arvoisa puhemies , toivoin , että olisin voinut ensimmäisessä puheessani tässä parlamentissa puhua hissirivistöjen yhdistämisestä elektronisesti , jotta ne olisivat tehokkaampia , kylpyhuoneiden ilmanvaihdosta , ilmastoinnista ja baarialueen koiranoksennuksen värisistä	matoista	.
8067661	matoista	mata|matto	matto	On tuhat muuta alaa - on muistutettu	matoista	, elintarvikkeista - , joilla valitettavasti naisten ja , mainitsen , lasten työvoimaa käytetään ylenmäärin hyväksi .
137204130	puolista	puoli|puola	puoli	Eräs mietinnön hyvistä	puolista	on , että aseiden viennin ongelma asetetaan siinä laajempaan yhteyteen .
232265842	puolilta	puoli|puola	puoli	Maailman ylikansoitetuilta alueilta virtaa pakolaisia , joista suurin osa on talouspakolaisia , jotka tuovat Eurooppaan ongelmia ja konflikteja eri	puolilta	maailmaa ja joita ei vaadita tekemään yhteistyötä prosessissa .
81944327	puolilta	puoli|puola	puoli	Sikäli voin vain vaatia teitä hyväksymään direktiivin tai asetuksen parlamentin esittämässä muodossa tänään	puolilta	päivin toimitettavan äänestyksen jälkeen .
171267799	puolilta	puoli|puola	puoli	Se on pakottavan tärkeää sekä inhimilliseltä että poliittiselta kannalta , sillä eri	puolilta	maailmaa saaduista varoitussignaaleista huolimatta rypälepommit ovat edelleen aktiivisessa käytössä .
33865537	puolista	puoli|puola	puoli	Voimme saada paremmin tietoa näiden välikohtausten kaikista	puolista	- mikä niitä aiheuttaa ja toivottavasti joitakin syitä - jotta voimme käsitellä niitä asianmukaisesti 13 artiklan nojalla , kun sopimus on ratifioitu .
46550025	jätteinä	jäte|jätti	jäte	Sen vuoksi haluaisin todeta , että komission kanta on se , että käytettyjä vaatteita , sen jälkeen kun ne on ennen vientiä lajiteltu , puhdistettu ja korjattu , ei voi pitää	jätteinä	vaan tuotteina .
47733994	jätteinä	jäte|jätti	jäte	Emme pidä museoissa tai yksityisten hallussa olevia museoajoneuvoja ylipäänsä	jätteinä	.
51529160	markkinointivuosi	markkinointi#vuo|markkinointi#vuosi	markkinointi#vuosi	Arvoisa komission jäsen , sanoitte aamulla , että nyt on menossa hedelmä- ja vihannesalan yhteisen markkinajärjestelyn toinen	markkinointivuosi	.
75853813	ainoina	ainoa|aino	ainoa	Ensiksi minun on tänään kiitettävä ECHOn virkamiehiä ja kansalaisjärjestöjen työntekijöitä , jotka äärimmäisen puutteellisissa oloissa , kun kaikesta maan päällä on puutetta , ovat ensimmäisinä , uhrautuvimpina ja usein	ainoina	paikalla antamassa välttämätöntä humanitaarista apua .
26505334	ainoina	ainoa|aino	ainoa	Kuten jo kaikki minua edeltäneet puhujat ovat todenneet , epäilemättä kaikki tutkimukset ja tilastot vahvistavat , että Euroopan työllisyyden tulevaisuus riippuu pienistä yrityksistä , jotka ovat	ainoina	pystyneet viimeisten kymmenen vuoden aikana luomaan suuren määrän uusia työpaikkoja .
187934678	ainoina	ainoa|aino	ainoa	On tutkittava , olisiko meidän syytä palata ajatukseen tiukasta kahdeksan tunnin aikarajasta , johon ei tehdä poikkeuksia -	ainoina	poikkeuksina ehkä merikuljetukset saarilta .
79144420	ainoina	ainoa|aino	ainoa	Kuka epäilee vielä sitä , että he pitävät itseään unionin	ainoina	perustuslain laatijoina ?
17397346	ainoina	ainoa|aino	ainoa	Haluaisin käsitellä myös toista asiaa eli sitä , onko yhteisö alkanut pitää markkinoihin liittyviä kysymyksiä liian tärkeinä tai jopa	ainoina	tärkeinä kysymyksinä ja alkanut suhtautua välinpitämättömästi terveyteen .
48177634	Japaniin	Japani|Japan	Japani	Viitaan tässä erityisesti Yhdysvaltoihin ja	Japaniin	.
66231322	Japanissa	Japani|Japan	Japani	Aktiiviväestön 60 prosentin osuus on hyvin alhainen verrattuna vastaavaan tasoon	Japanissa	tai Yhdysvalloissa emmekä me kykene samaan määrään kuin nämä maat niin alhaisella työllisyystasolla .
210054109	Japaniin	Japani|Japan	Japani	Lopuksi totean vielä , että minusta meidän on tulevaisuudessa kiinnitettävä enemmän huomiota	Japaniin	, vanhaan ja luotettuun ystävään , eikä meidän pidä olla niin Kiinan ja muiden nopeasti kasvavien valtioiden lumoissa .
48491447	Japanissa	Japani|Japan	Japani	ssa ja	Japanissa	, aikovat taivutella meidät luopumaan tämän keksijöitä varten tarkoitetun suojamääräyksen käyttöönottamisesta .
125058639	Japanille	Japani|Japan	Japani	Tämä ei kuitenkaan ole ainoastaan Korean demokraattisen kansantasavallan ja Yhdysvaltain välinen asia , vaan alueellinen ongelma , josta voi olla vakavia seurauksia sekä Etelä-Korealle että	Japanille	.
132755117	ehtoihin	ehtoo|ehto	ehto	Vasta aivan viimeisinä päivinä ymmärrettiin lopulta , että myöntyminen kaikkein skeptisimpien hallitusten	ehtoihin	olisi voinut kaataa koko hankkeen , ja pyydettiin tukea kansallisten ja Euroopan parlamentin jäseniltä ja paljon parjatulta komissiolta .
174602984	ehtoihin	ehtoo|ehto	ehto	Olen väittänyt , että lentoasemat , joiden vuotuinen matkustajamäärä on alle 5 miljoona , ovat paljon enemmän markkinavoimien armoilla kuin suuret lentoasemat , joten niiden sisällyttäminen tämän direktiivin	ehtoihin	asettaisi alueelliset lentoasemat tarpeettomaan puristusotteeseen .
19138277	ehtoihin	ehtoo|ehto	ehto	ennen kaikkea tunnustaa kaikkien jäsenyyttä hakeneiden maiden oikeus aloittaa neuvottelut samanaikaisesti pitäen kiinni siitä , että neuvottelujen edistymisen vauhti ja lopputulos riippuvat ehdokasmaiden kyvystä sopeutua liittymisen	ehtoihin	ja kriteereihin .
